,district,mandal,month,rain,temp,humidity,N,P,K,pH
60,Hyderabad,Bahadurpura,1,0.16,23.74,58.24333333,0.0,0.0,0.0,0.0
61,Hyderabad,Bandlaguda,1,0.333333333,23.47666667,61.695,0.0,0.0,0.0,0.0
62,Hyderabad,Charminar,1,0.716666667,24.35333333,57.98333333,0.0,0.0,0.0,0.0
63,Hyderabad,Golkonda,1,0.14,22.96166667,61.12833333,0.0,0.0,0.0,0.0
64,Hyderabad,Golkonda,1,0.556666667,23.95166667,61.46333333,0.0,0.0,0.0,0.0
65,Hyderabad,Himayatnagar,1,0.033333333,24.26333333,60.08,0.0,0.0,0.0,0.0
66,Hyderabad,Khairatabad,1,1.213333333,23.32166667,62.295,0.0,0.0,0.0,0.0
67,Hyderabad,Maredpally,1,0.21,23.52666667,64.12,0.0,0.0,0.0,0.0
68,Hyderabad,Musheerabad,1,0.286666667,24.27833333,60.24666667,0.0,0.0,0.0,0.0
69,Hyderabad,Nampally,1,2.17,24.02333333,64.915,0.0,0.0,0.0,0.0
70,Hyderabad,Saidabad,1,0.266666667,24.00166667,62.14,0.0,0.0,0.0,0.0
71,Hyderabad,Secunderabad,1,0.006666667,23.59333333,61.83166667,0.0,0.0,0.0,0.0
72,Hyderabad,Shaikpet,1,0.286666667,23.3,62.56333333,0.0,0.0,0.0,0.0
73,Hyderabad,Tirumalgiri,1,1.37,22.90333333,69.49166667,0.0,0.0,0.0,0.0
74,Jagtial,Beerpur,1,3.313333333,22.42833333,76.20666667,0.0,0.0,0.0,0.0
75,Jagtial,Buggaram,1,0.77,23.77333333,75.38666667,0.0,0.0,0.0,0.0
76,Jagtial,Dharmapuri,1,1.01,23.59833333,73.145,0.0,0.0,0.0,0.0
77,Jagtial,Gollapalle,1,0.953333333,24.47666667,76.43666667,0.0,0.0,0.0,0.0
78,Jagtial,Ibrahimpatnam,1,1.576666667,24.19,76.33833333,0.0,0.0,0.0,0.0
79,Jagtial,Jagityal_Rural,1,2.133333333,22.51833333,74.68666667,0.0,0.0,0.0,0.0
80,Jagtial,Jagtial,1,1.19,21.91666667,73.94,0.0,0.0,0.0,0.0
81,Jagtial,Kathlapur,1,1.396666667,22.35833333,74.28,0.0,0.0,0.0,0.0
82,Jagtial,Kodimial,1,0.583333333,23.73166667,73.28833333,0.0,0.0,0.0,0.0
83,Jagtial,Koratla,1,0.516666667,23.90833333,72.295,0.0,0.0,0.0,0.0
84,Jagtial,Malial,1,1.433333333,22.98166667,72.54666667,0.0,0.0,0.0,0.0
85,Jagtial,Mallapur,1,0.373333333,23.70666667,72.85,0.0,0.0,0.0,0.0
86,Jagtial,Medipalle,1,2.01,23.21166667,74.30166667,0.0,0.0,0.0,0.0
87,Jagtial,Metpalle,1,0.873333333,24.505,75.495,0.0,0.0,0.0,0.0
88,Jagtial,Pegadapalle,1,0.68,23.69833333,73.85,0.0,0.0,0.0,0.0
89,Jagtial,Raikal,1,1.9,23.05333333,75.13666667,0.0,0.0,0.0,0.0
90,Jagtial,Sarangapur,1,1.973333333,22.795,75.09,0.0,0.0,0.0,0.0
91,Jagtial,Velgatoor,1,1.436666667,23.93,75.545,0.0,0.0,0.0,0.0
92,Jangaon,Bachannapeta,1,3.106666667,22.63333333,70.025,0.0,0.0,0.0,0.0
93,Jangaon,Chilpur,1,1.936666667,22.10833333,73.19666667,0.0,0.0,0.0,0.0
94,Jangaon,Devaruppala,1,1.133333333,22.96833333,75.93166667,0.0,0.0,0.0,0.0
95,Jangaon,Devaruppala,1,1.216666667,22.545,73.25,0.0,0.0,0.0,0.0
96,Jangaon,Ganpur_Stn,1,3.53,23.255,71.805,0.0,0.0,0.0,0.0
97,Jangaon,Jangaon,1,2.836666667,25.06,68.38333333,0.0,0.0,0.0,0.0
